"Esperanto","Latīna","English","Español","Français","汉语","日本語/にほんご/ニホンゴ"
"personaj pronomoj","pronomina personalia","personal pronouns","pronombres personales","pronoms personnels","人称代词","人称代名詞/にんしょうだいめいし"
"unua persono","prima persona","first person","primera persona","première personne","第一人称","一人称/いちにんしょう/イチニンショウ"
"mi mem","egomet","myself","yo mismo","moi-même","我自己","私自身/わたしじしん/ワタシジシン"
"si mem","se ipsum","self","sí mismo","soi-même","自己","自己/じこ/ジコ"
"mi","ego","I","yo","je","我","私/わたし/ワタシ"
"mia","meus","my","mi","mon","我的","私の/わたしの/ワタシノ"
"mia","meus","mine","mío","le mien","我的（东西）","私のもの/わたしのもの/ワタシノモノ"
"ni","nos","we","nosotros","nous","我们","私達/わたしたち/ワタシタチ"
"nia","noster","our","nuestro","notre","我们的","私達の/わたしたちの/ワタシタチノ"
"nia","noster","ours","el nuestro","le nôtre","我们的（东西）","私達のもの/わたしたちのもの/ワタシタチノモノ"
"mi mem","ego ipse","oneself","uno mismo","soi-même","本人","本人/ほんにん/ホンニン"
"si mem","per se","itself","en sí","en soi","本身","自体/じたい/ジタイ"
"dua persono","secunda persona","second person","segunda persona","deuxième personne","第二人称","二人称/ににんしょう/ニニンショウ"
"vi mem","tu ipse","yourself","tú mismo","toi-même","你自己","貴方自身/あなたじしん/アナタジシン"
"vi","tu","you","tú","tu","你","君/きみ/キミ"
"via","tuus","your","tu","ton","你的","君の/きみの/キミノ"
"via","tuus","yours","tuyo","le tien","你的（东西）","君のもの/きみのもの/キミノモノ"
"vi","vos","you","vosotros","vous","你们","君達/きみたち/キミタチ"
"via","vester","your","vuestro","votre","你们的","君達の/きみたちの/キミタチノ"
"via","vester","yours","vuestro","le vôtre","你们的（东西）","君達のもの/きみたちのもの/キミタチノモノ"
"vi","vos","you","usted","vous","您","貴方/あなた/アナタ"
"via","vester","your","su","votre","您的","貴方の/あなたの/アナタノ"
"via","vester","yours","suyo","le vôtre","您的（东西）","貴方のもの/あなたのもの/アナタノモノ"
"tria persono","tertia persona","third person","tercera persona","troisième personne","第三人称","三人称/さんにんしょう/サンニンショウ"
"ĝi mem","ipsum","itself","sí mismo","lui-même","它自己","それ自身/それじしん/ソレジシン"
"ĝi","id","it","ello","il","它","それ/ソレ"
"ĝia","eius","its","su","son","它的","それの/ソレノ"
"ĝia","eius","its","suyo","le sien","它的（东西）","それのもの/ソレノモノ"
"ili","ea","they","ellos","ils","它们","それら/ソレラ"
"ilia","eorum","their","su","leur","它们的","それらの/ソレラノ"
"ilia","eorum","theirs","suyo","le leur","它们的（东西）","それらのもの/ソレラノモノ"
"Li mem","Ipse","Himself","Él mismo","Lui-même","祂自己","主御自身/しゅごじしん/シュゴジシン"
"Li","Ipse","He","Él","Il","祂","主/しゅ/シュ"
"Lia","Eius","His","Su","Son","祂的","主の/しゅの/シュノ"
"Lia","Eius","His","Suyo","Le sien","祂的（东西/受造物）","主のもの/しゅのもの/シュノモノ"
"Ili","Ei","They","Ellos","Ils","祂们","主等/しゅら/シュラ"
"Ilia","Eorum","Their","Su","Leur","祂们的","主等の/しゅらの/シュラノ"
"Ilia","Eorum","Theirs","Suyo","Le leur","祂们的（东西/受造物）","主等のもの/しゅらのもの/シュラノモノ"
"li mem","ipse","himself","él mismo","lui-même","他自己","彼自身/かれじしん/カレジシン"
"li","is","he","él","il","他","彼/かれ/カレ"
"lia","eius","his","su","son","他的","彼の/かれの/カレノ"
"ilia","eorum","their","su","leur","他们的","彼らの/かれらの/カレラノ"
"ilia","eorum","theirs","suyo","le leur","他们的（东西）","彼らのもの/かれらのもの/カレラノモノ"
"ŝi mem","ipsa","herself","ella misma","elle-même","她自己","彼女自身/かのじょじしん/カノジョジシン"
"ŝi","ea","she","ella","elle","她","彼女/かのじょ/カノジョ"
"ŝia","eius","her","su","son","她的","彼女の/かのじょの/カノジョノ"
"ŝia","eius","hers","suyo","le sien","她的（东西）","彼女のもの/かのじょのもの/カノジョノモノ"
